timestamp,epoch,seconds,train_accuracy,train_loss,test_accuracy,test_loss,pred_counts,w_norm,b_norm,w_input_norm,grad_w_norm,grad_b_norm,grad_w_input_norm,best_accuracy,best_path,final_path
2026-06-08T00:35:02,0,0.0,0.102,16.739935,0.101,16.978348,103-99-97-100-84-128-90-111-91-97,0.51125515,0.0,0.68779385,0.0,0.0,0.0,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:15,1,11.4327747,missing,missing,missing,missing,missing,0.86731625,0.16913408,1.1030383,1.4540688,1.5404359,0.7709133,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:20,2,5.0275638,missing,missing,missing,missing,missing,0.885662,0.30214733,1.3657978,1.258866,1.0823555,0.4562689,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:25,3,5.1730094,missing,missing,missing,missing,missing,0.8506611,0.4321037,1.5498465,0.91219693,1.326524,0.4392203,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:30,4,5.0619248,missing,missing,missing,missing,missing,0.87086976,0.5625984,1.7227623,0.9265087,1.2535032,0.2957559,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:36,5,5.1364625,0.106,5.951722,0.094,5.966076,134-92-106-93-98-98-89-97-87-106,0.9422644,0.68784904,1.8696363,0.877892,1.0006347,0.22297615,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:41,6,5.2689681,missing,missing,missing,missing,missing,1.0095952,0.8066185,1.9924703,0.7635057,1.0586078,0.20920283,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:47,7,5.6349985,missing,missing,missing,missing,missing,1.1163877,0.91993606,2.0995026,0.894529,0.82457834,0.15960464,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:53,8,5.9038513,missing,missing,missing,missing,missing,1.2140352,1.0262687,2.1940448,0.8997476,0.9009302,0.17472649,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:35:58,9,5.6889604,missing,missing,missing,missing,missing,1.3426453,1.127264,2.2774892,0.92626685,0.7409951,0.14803849,0.101,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
2026-06-08T00:36:04,10,5.709746,0.249,5.6953063,0.283,5.3256974,120-86-117-108-77-82-144-103-104-59,1.4739645,1.2225039,2.3523097,0.75463635,0.7804017,0.21014349,0.283,C:\Users\fenje\dev\InteractiveIsing.jl\ext\IsingLearning\experiments\MNIST\locally-connected-6x6-window-replication\experiments\current\20260608_lcl_6x6_stochastic_ep_large_beta_grid\b3p0_lr0p0003_T0p001_s25_k8_e80\best_checkpoint.bin,
