config,nn,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
nn1,1,0,1.023737,1.028631,0.5,false,-0.18524398,0.0043655448,1.023737,0,-0.18524398,0,-1,NaN,11.019505286769308,NaN,0.002,2.61,0|0|0|0,-0.1839|-0.1852|-0.166|-0.1848,0.1839|-0.1852|-0.166|0.1848,0.847|1.2187|1.1979|0.8509
nn1,1,10,1.0425088,1.0443076,0.5,false,-0.17282972,-0.008212287,1.023737,0,-0.17282972,10,-1,0.5438825478631691,11.000951899176192,0.04551642043845722,0.0019117794,6.172,0|0|0|0,-0.1609|-0.166|-0.1728|-0.145,0.1609|-0.166|-0.1728|0.145,0.875|1.2053|1.2109|0.8861
nn1,1,20,1.0352687,1.0581135,0.5,false,-0.17678608,-0.0043122843,1.023737,0,-0.17282972,10,-1,0.4841308285957977,10.989992965126737,0.039508766357704256,0.0018183127,6.356,0|0|0|0,-0.1517|-0.1578|-0.1768|-0.1656,0.1517|-0.1578|-0.1768|0.1656,0.9011|1.2088|1.2289|0.8937
nn1,1,30,1.0302223,1.073327,0.5,false,-0.16116421,-0.003422279,1.023737,0,-0.16116421,30,-1,0.3689835431155993,10.98075674704585,0.032118370044589055,0.0017294157,6.543,0|0|0|0,-0.1566|-0.1612|-0.1511|-0.142,0.1566|-0.1612|-0.1511|0.142,0.9123|1.2305|1.2192|0.9313
nn1,1,40,1.0166154,1.0715073,0.5,false,-0.14467758,0.0021896139,1.0166154,40,-0.14467758,40,-1,0.4485429407229522,10.964745293132063,0.02856031616118795,0.001644865,6.73,0|0|0|0,-0.1522|-0.1406|-0.1447|-0.1419,0.1522|-0.1406|-0.1447|0.1419,0.9251|1.2143|1.2126|0.9341
nn1,1,50,1.0269648,1.078467,0.5,false,-0.13719311,-0.005528545,1.0166154,40,-0.13719311,50,-1,0.35496940752974837,10.95168653067695,0.02724410318124156,0.0015644479,6.912,0|0|0|0,-0.1386|-0.1243|-0.1372|-0.1007,0.1386|-0.1243|-0.1372|0.1007,0.9374|1.1966|1.2096|0.9702
nn1,1,60,1.0086442,1.0758128,0.5,false,-0.1212082,0.00324459,1.0086442,60,-0.1212082,60,-1,0.3957059199242958,10.935779719625478,0.024133123214832533,0.0014879622,7.097,0|0|0|0,-0.1259|-0.1212|-0.1182|-0.1265,0.1259|-0.1212|-0.1182|0.1265,0.9526|1.201|1.1957|0.9539
nn1,1,70,1.0394826,1.0935489,0.5,false,-0.14450371,-0.011650115,1.0086442,60,-0.1212082,60,-1,0.23056735337873538,10.924281214063711,0.02190756826721357,0.001415216,7.306,0|0|0|0,-0.1256|-0.1445|-0.1315|-0.1039,0.1256|-0.1445|-0.1315|0.1039,0.9553|1.2292|1.2147|0.975
nn1,1,80,1.0114521,1.082828,0.5,false,-0.13536276,0.0024610497,1.0086442,60,-0.1212082,60,-1,0.3346213351402758,10.91229133187968,0.01944572154769512,0.0013460263,7.502,0|0|0|0,-0.1268|-0.1354|-0.1151|-0.1336,0.1268|-0.1354|-0.1151|0.1336,0.9579|1.2202|1.1989|0.9543
nn1,1,90,1.0155914,1.0896847,0.5,false,-0.12959343,0.00025554188,1.0086442,60,-0.1212082,60,-1,0.2545463709265141,10.897999613178909,0.017124818877766373,0.0012802194,7.685,0|0|0|0,-0.1307|-0.1236|-0.1296|-0.1235,0.1307|-0.1236|-0.1296|0.1235,0.9577|1.2134|1.2185|0.9691
nn1,1,100,1.0113826,1.089119,0.5,false,-0.12669964,0.0023615435,1.0086442,60,-0.1212082,60,-1,0.18191607928985792,10.88502654086843,0.014493402977313309,0.0012176296,7.865,0|0|0|0,-0.1319|-0.1267|-0.1223|-0.1265,0.1319|-0.1267|-0.1223|0.1265,0.9587|1.2192|1.2117|0.9668
nn1,1,110,1.0195343,1.0906438,0.5,false,-0.13035169,-0.0018501766,1.0086442,60,-0.1212082,60,-1,0.21104142489957628,10.871714479336497,0.013414222247689385,0.0011581,8.047,0|0|0|0,-0.121|-0.1304|-0.1249|-0.1269,0.121|-0.1304|-0.1249|0.1269,0.968|1.2217|1.2081|0.9649
nn1,1,120,1.022707,1.0978011,0.5,false,-0.13334018,-0.0028926954,1.0086442,60,-0.1212082,60,-1,0.17303759590914553,10.86481498746822,0.013648703216625752,0.0011014807,8.249,0|0|0|0,-0.1278|-0.1325|-0.1333|-0.1265,0.1278|-0.1325|-0.1333|0.1265,0.9648|1.2334|1.2275|0.9654
nn1,1,130,1.018976,1.0954685,0.5,false,-0.12494503,-0.002026543,1.0086442,60,-0.1212082,60,-1,0.1716024177177405,10.856617441585994,0.012400171486723316,0.0010476294,8.468,0|0|0|0,-0.1147|-0.1233|-0.1249|-0.1254,0.1147|-0.1233|-0.1249|0.1254,0.981|1.2142|1.2153|0.9714
nn1,1,140,1.0244805,1.0953609,0.5,false,-0.15131165,-0.002928581,1.0086442,60,-0.1212082,60,-1,0.147595413734126,10.84945168230361,0.010724575807535032,0.000996411,8.65,0|0|0|0,-0.135|-0.1269|-0.1513|-0.1314,0.135|-0.1269|-0.1513|0.1314,0.9564|1.2159|1.2449|0.9643
nn1,1,150,1.0368284,1.1058133,0.5,false,-0.14854996,-0.009273149,1.0086442,60,-0.1212082,60,-1,0.130779683344127,10.838891427761997,0.009751469813828809,0.0009476967,8.831,0|0|0|0,-0.1205|-0.1396|-0.1485|-0.1305,0.1205|-0.1396|-0.1485|0.1305,0.9768|1.238|1.2471|0.9614
