resume_checkpoint,beta,lr,temp,weight_decay,stepsize,sweeps,positive_target_weight,negative_target_weight,reset_opt_state,status,best_epoch,best_test_accuracy,best_test_loss,final_epoch,final_test_accuracy,final_test_loss,outdir
ext/IsingLearning/experiments/MNIST/baseline_new_nudge/experiments/current/symmetric_nudge_resume_from_0p689_20260610/cont_lr0p00012_reset_s500/best_checkpoint.bin,0.020,0.00012,0.00005,0.001,0.5,500,9.0,0.50,true,done,17,0.714,11.59143,21,0.658,12.437095,ext\IsingLearning\experiments\MNIST\baseline_new_nudge\experiments\current\symmetric_nudge_resume_from_0p714_targeted_20260610\cont_lr0p00012_reset_s500
